#    X_IMAGE      Y_IMAGE    X_WORLD    Y_WORLD    FLUX_STACK        FLUX_0        FLUX_1        FLUX_2        FLUX_3        FLUX_4        MEDIAN         SNR
 1201.242065   272.635193  50.015598  41.350600  1.291381e+04  1.234225e+04  1.072033e+04  1.401404e+04  1.016276e+04  1.284023e+04  1.178028e+04    7.542284
 1307.868896  1985.803711  50.053896  41.413878  4.671579e+05  4.545619e+05  4.613547e+05  4.549642e+05  4.577777e+05  4.523106e+05  4.563709e+05  135.960474
 1358.031860   234.046814  50.022766  41.346872  1.049591e+05  1.041519e+05  9.988969e+04  1.012547e+05  9.947799e+04  1.069565e+05  1.005722e+05   33.574289
 1414.374390   219.042007  50.025320  41.345489  2.330512e+04  2.378055e+04  2.201093e+04  2.251628e+04  2.378295e+04  2.575992e+04  2.314961e+04   16.002277
  769.248718   185.754181  49.992136  41.353559  1.132705e+05  1.092723e+05  1.108790e+05  1.094530e+05  1.130235e+05  1.087230e+05  1.101660e+05   67.156424
  945.921204   192.860855  50.001186  41.351274  8.655879e+04  8.562594e+04  8.331998e+04  8.773814e+04  8.463946e+04  8.597317e+04  8.530632e+04   52.160094
 1515.179810   153.156235  50.029139  41.341537  1.188025e+04  1.505182e+04  1.449581e+04  1.585126e+04  1.610588e+04  1.459918e+04  1.522522e+04   21.084508
 2431.750977   120.685745  50.074735  41.327036  1.719365e+05  1.694771e+05  1.790912e+05  2.068921e+05  1.704952e+05  1.679343e+05  1.747932e+05   11.311961
  975.823914  1105.011108  50.020205  41.385358  2.814100e+05  2.812555e+05  2.839159e+05  2.820845e+05  2.804203e+05  2.755428e+05  2.812524e+05   90.352849
 1187.364014   109.715126  50.011771  41.344636  9.912215e+04  1.163923e+05  1.178322e+05  1.137754e+05  9.642552e+04  9.649684e+04  1.051361e+05   10.753294
 1166.746216   106.995804  50.010679  41.344831  1.211437e+05  1.443872e+05  1.455815e+05  1.425155e+05  1.176495e+05  1.166215e+05  1.300825e+05    9.632189
 1464.636719    88.376472  50.025347  41.339817  3.726031e+04  4.579106e+04  3.909861e+04  4.389566e+04  3.632560e+04  3.499162e+04  3.771211e+04   11.062643
  886.098633  2258.152100  50.037836  41.430289  2.122543e+05  2.051393e+05  2.000728e+05  2.074294e+05  2.108099e+05  2.094239e+05  2.084267e+05   50.349988
  873.860168  2206.652100  50.036228  41.428518  2.450811e+06  2.434460e+06  2.450214e+06  2.441629e+06  2.434765e+06  2.426373e+06  2.438197e+06  277.963308
  997.014099  2263.633545  50.043543  41.428891  1.172935e+06  1.115468e+06  1.191456e+06  8.600199e+05  1.191946e+06  1.103102e+06  1.147279e+06    8.451910
 1232.513062  2185.830566  50.053939  41.422537  6.700924e+06  6.682884e+06  6.756267e+06  6.677372e+06  6.658189e+06  6.636270e+06  6.667781e+06  147.309805
 1122.398560  2258.336670  50.049773  41.426875  9.023068e+04  2.324095e+04  8.772856e+04  8.775031e+04  9.868743e+04  1.642892e+04  8.773944e+04    2.677853
 1650.298828  2202.611084  50.075355  41.417120  6.568954e+05  6.409239e+05  6.440504e+05  6.446639e+05  6.473772e+05  6.433410e+05  6.443572e+05  421.738089
